epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,12590.6,1.70565,2.7484,1.18388,1.13548,0.46338,0.32593,0.35474,0.19346,0.44886,0.29122,0.32852,0.15481,1.84578,2.86074,1.16549,1.08152,0.000841835,0.000841835,0.000841835
52,12901.4,1.72755,2.76076,1.18448,1.13742,0.44394,0.33492,0.35345,0.19151,0.40827,0.30751,0.32003,0.15043,1.83141,2.90271,1.16661,1.09728,0.000825332,0.000825332,0.000825332
53,13414.7,1.71886,2.74148,1.18212,1.13464,0.45157,0.33349,0.35055,0.18786,0.43459,0.29093,0.32057,0.15178,1.85713,2.84398,1.18881,1.10501,0.000808828,0.000808828,0.000808828
54,13771.1,1.68968,2.74587,1.17573,1.1358,0.45153,0.34559,0.35765,0.19186,0.41876,0.31729,0.3283,0.15367,1.83797,2.84185,1.17093,1.09471,0.000792325,0.000792325,0.000792325
55,14322.2,1.69251,2.73394,1.17063,1.14286,0.46289,0.33292,0.36527,0.20046,0.4404,0.31153,0.3418,0.16056,1.81905,2.83927,1.16272,1.0938,0.000775822,0.000775822,0.000775822
56,14511.1,1.69116,2.72328,1.16292,1.12733,0.45174,0.3128,0.35217,0.18966,0.44217,0.28899,0.3299,0.15604,1.82829,2.8115,1.20406,1.09677,0.000759318,0.000759318,0.000759318
57,14702.2,1.70587,2.74068,1.17375,1.13457,0.45273,0.33402,0.3648,0.20088,0.44032,0.31164,0.34351,0.16014,1.79158,2.80048,1.18194,1.08848,0.000742815,0.000742815,0.000742815
58,14842.9,1.67449,2.68521,1.15627,1.13016,0.47233,0.31972,0.35058,0.19136,0.44451,0.28764,0.32038,0.14588,1.82512,2.90466,1.16829,1.0727,0.000726312,0.000726312,0.000726312
59,15086.5,1.70995,2.74867,1.18011,1.14019,0.44906,0.33339,0.36075,0.19867,0.43701,0.3141,0.33969,0.1598,1.80712,2.77331,1.164,1.08944,0.000709809,0.000709809,0.000709809
60,15527.8,1.70129,2.73405,1.18106,1.12844,0.45606,0.31084,0.34264,0.18571,0.42581,0.28142,0.31575,0.14651,1.85507,2.84486,1.20637,1.08241,0.000693305,0.000693305,0.000693305
61,15695.7,1.66897,2.68411,1.16117,1.12949,0.46569,0.32631,0.36248,0.19489,0.4541,0.29312,0.33503,0.15797,1.82915,2.81912,1.1615,1.08766,0.000676802,0.000676802,0.000676802
62,15885,1.67034,2.67238,1.1418,1.12416,0.46231,0.3307,0.35756,0.19513,0.43817,0.30803,0.33105,0.15917,1.79336,2.80676,1.16578,1.08347,0.000660299,0.000660299,0.000660299
63,16152.3,1.65102,2.68405,1.12061,1.12641,0.44392,0.35435,0.35931,0.19838,0.42414,0.33086,0.33747,0.16183,1.7866,2.82594,1.15217,1.08719,0.000643795,0.000643795,0.000643795
64,16311.7,1.66447,2.69282,1.14587,1.13113,0.44593,0.33374,0.35392,0.1951,0.43299,0.31542,0.33562,0.15855,1.79113,2.84071,1.17511,1.09306,0.000627292,0.000627292,0.000627292
65,16426.4,1.65164,2.69605,1.12621,1.12634,0.46618,0.33705,0.36603,0.20133,0.44158,0.31763,0.34348,0.16387,1.78517,2.77867,1.1505,1.07577,0.000610789,0.000610789,0.000610789
66,16688.8,1.67688,2.69914,1.12784,1.11417,0.45022,0.31929,0.35316,0.1987,0.43161,0.29721,0.32955,0.15792,1.77329,2.78767,1.15389,1.07088,0.000594286,0.000594286,0.000594286
67,16937.5,1.63721,2.65465,1.10936,1.12203,0.46376,0.33666,0.36589,0.20233,0.46161,0.3119,0.34674,0.16307,1.78599,2.77183,1.15409,1.07646,0.000577782,0.000577782,0.000577782
68,17150.9,1.63029,2.69723,1.10079,1.1253,0.46934,0.34116,0.36491,0.20073,0.45854,0.30893,0.34276,0.16086,1.80005,2.83847,1.13742,1.09076,0.000561279,0.000561279,0.000561279
69,17329.6,1.68714,2.70334,1.13735,1.12109,0.48397,0.32375,0.35926,0.19643,0.46225,0.30443,0.33763,0.16069,1.81514,2.79314,1.16156,1.08672,0.000544776,0.000544776,0.000544776
70,17591.1,1.65836,2.66127,1.11098,1.12277,0.46712,0.3274,0.3604,0.20224,0.45153,0.30923,0.34256,0.16465,1.79831,2.81399,1.16787,1.08898,0.000528272,0.000528272,0.000528272
71,17773.4,1.65028,2.66891,1.1041,1.11343,0.45428,0.34828,0.364,0.1959,0.44049,0.32388,0.34535,0.15981,1.82127,2.80228,1.17763,1.09245,0.000511769,0.000511769,0.000511769
72,17942,1.67668,2.68455,1.12927,1.12265,0.47005,0.3413,0.36822,0.20282,0.4654,0.31656,0.35109,0.16235,1.779,2.78805,1.13829,1.07711,0.000495266,0.000495266,0.000495266
73,18133.9,1.60196,2.63704,1.08255,1.11715,0.4783,0.33131,0.35991,0.19605,0.44828,0.3079,0.33311,0.15869,1.81933,2.83116,1.15034,1.08988,0.000478762,0.000478762,0.000478762
74,18385.4,1.65394,2.65477,1.10209,1.11137,0.46352,0.33937,0.36351,0.20124,0.44256,0.30956,0.33934,0.16114,1.79358,2.79207,1.14407,1.07867,0.000462259,0.000462259,0.000462259
75,18543.7,1.63647,2.6529,1.09688,1.10863,0.47789,0.34798,0.36983,0.20267,0.45265,0.32488,0.34982,0.16439,1.77743,2.76564,1.12678,1.0761,0.000445756,0.000445756,0.000445756
76,19023.7,1.65113,2.67994,1.09969,1.10735,0.46496,0.35841,0.37945,0.2099,0.43503,0.33051,0.34794,0.16603,1.76259,2.84757,1.13995,1.07263,0.000429253,0.000429253,0.000429253
77,19208.7,1.64509,2.65637,1.09761,1.109,0.48137,0.35756,0.37665,0.20592,0.45406,0.33606,0.35475,0.16653,1.79459,2.78233,1.13904,1.08612,0.000412749,0.000412749,0.000412749
78,19337.8,1.59597,2.62214,1.0705,1.10405,0.50044,0.34956,0.38117,0.21057,0.47684,0.33056,0.36468,0.17454,1.7579,2.76363,1.1291,1.06819,0.000396246,0.000396246,0.000396246
79,19513.5,1.65043,2.68793,1.085,1.10464,0.47174,0.34714,0.36973,0.20292,0.45563,0.32525,0.34863,0.16647,1.80245,2.76007,1.14716,1.08642,0.000379743,0.000379743,0.000379743
80,19741.2,1.63026,2.64764,1.08823,1.11112,0.46394,0.34093,0.36646,0.19991,0.43775,0.31379,0.34144,0.16108,1.80933,2.79429,1.14745,1.08738,0.000363239,0.000363239,0.000363239
81,20145.5,1.63104,2.63086,1.08377,1.10069,0.47025,0.37067,0.38125,0.2081,0.44738,0.34571,0.35859,0.17095,1.79173,2.77503,1.13162,1.08986,0.000346736,0.000346736,0.000346736
82,20286.6,1.61109,2.59632,1.07689,1.10569,0.48151,0.34921,0.37022,0.20628,0.46933,0.33828,0.35733,0.16848,1.77308,2.75607,1.12822,1.08048,0.000330233,0.000330233,0.000330233
83,20456.1,1.60212,2.60018,1.05461,1.10219,0.48761,0.34744,0.3745,0.20605,0.45554,0.31636,0.34841,0.16497,1.79115,2.77946,1.12896,1.07842,0.000313729,0.000313729,0.000313729
84,20663,1.61134,2.63705,1.06672,1.10207,0.48278,0.34244,0.37419,0.20207,0.45577,0.31845,0.35066,0.16472,1.81721,2.79701,1.14005,1.08792,0.000297226,0.000297226,0.000297226
85,20844.1,1.60567,2.61694,1.06396,1.10603,0.479,0.33917,0.36688,0.20025,0.45622,0.32254,0.34736,0.16396,1.81092,2.79049,1.16667,1.08861,0.000280723,0.000280723,0.000280723
86,21157.7,1.6529,2.6523,1.10418,1.11023,0.50484,0.33683,0.37442,0.20428,0.47371,0.31434,0.34871,0.1683,1.79324,2.76595,1.12863,1.08186,0.00026422,0.00026422,0.00026422
87,21365.3,1.62597,2.63761,1.07689,1.10343,0.47345,0.34545,0.36969,0.20087,0.44698,0.31413,0.34044,0.16182,1.80194,2.7956,1.13424,1.08065,0.000247716,0.000247716,0.000247716
88,21592.7,1.59537,2.5819,1.05889,1.10305,0.47776,0.34494,0.36857,0.20407,0.4507,0.31686,0.34495,0.16253,1.79364,2.79208,1.13244,1.07925,0.000231213,0.000231213,0.000231213
